feature,importance
backlogs,0.20365695576498202
experience_score,0.1520678187077212
skill_score,0.10761169146479964
academic_score,0.07714102715393126
cgpa,0.06785152465889148
internships,0.05792463577358988
technical_skill_score,0.04481582150029805
aptitude_score,0.04072105358889806
tenth_percent,0.03858464655678208
coding_skill,0.03820189522270301
ats_score,0.03633290234711703
twelfth_percent,0.035386175145685
communication_skill,0.03332963092520074
projects,0.028171084539081275
certifications,0.020777110072409722
extracurricular,0.017426026577909436
